Designator,Mid X,Mid Y,Rotation,Layer
C1,151.75,-125.175,90.0,bottom
C2,149.64,-125.135,90.0,bottom
D1,136.017,-109.1438,0.0,top
D10,178.1942,-111.0488,0.0,top
D2,144.653,-87.376,0.0,top
D3,158.7246,-85.4964,0.0,top
D4,148.8127,-67.8199,0.0,top
D5,173.101,-89.8652,0.0,top
D6,148.4762,-115.0874,0.0,top
D7,156.337,-44.7802,0.0,top
D8,161.9503,-107.8992,0.0,top
D9,165.0492,-69.723,0.0,top
J1,157.2622,-65.024,0.0,bottom
J2,183.8198,-129.4906,0.0,bottom
R1,135.9916,-107.4674,0.0,top
R10,178.1688,-112.8014,0.0,top
R2,144.6276,-89.1032,0.0,top
R3,158.6992,-83.82,0.0,top
R4,148.8127,-66.0673,0.0,top
R5,173.0756,-88.2396,0.0,top
R6,148.4,-116.8654,0.0,top
R7,156.3116,-43.1292,0.0,top
R8,162.0266,-106.2228,0.0,top
R9,165.0746,-68.0466,0.0,top
SW1,139.64,-119.98,0.0,bottom
SW2,127.44,-120.0,0.0,bottom
U1,157.3352,-127.8636,0.0,bottom
